Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento;;;Placa;Codigo_Verificacion;Fecha_Emision;A¤o_Proceso;Medio_de_Pago;Cuotas Permiso;Codigo_SII;Comuna_Propietario;Comuna_Permiso;Valor_Contado;Total_a_Pagar;A¤o_Fabricacion;TipoVehiculo;Marca;Modelo;Cilindrada;Equipamiento;Combustible;Transmision;Tonelaje;Comuna_Anterior;Fecha_Vencimiento
FKXV-65;6;03-09-2021;2021;Pagado Internet;2da. Cuota;CT176026213;CHILLAN;RIO IBA¥EZ;114288;59225;2013;CAMIONETA;NISSAN;NAVARA;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;FKXV-65;6;03-09-2021;NULL;Pagado Internet;2da. Cuota;CT176026213;CHILLAN;RIO IBA¥EZ;114288;59225;2013;CAMIONETA;NISSAN;NAVARA;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
GPJL-41;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT176026214;PROVIDENCIA;RIO IBA¥EZ;44476;22527;2014;AMBULANCIA;NISSAN;NAVARA;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;GPJL-41;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT176026214;PROVIDENCIA;RIO IBA¥EZ;44476;22527;2014;AMBULANCIA;NISSAN;NAVARA;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
HHJH-36;7;16-09-2021;2021;Pagado Internet;2da. Cuota;CT235013715;PROVIDENCIA;RIO IBA¥EZ;62210;32237;2015;CAMIONETA;TOYOTA;HILUX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;HHJH-36;7;16-09-2021;NULL;Pagado Internet;2da. Cuota;CT235013715;PROVIDENCIA;RIO IBA¥EZ;62210;32237;2015;CAMIONETA;TOYOTA;HILUX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
HKKJ-72;4;24-09-2021;2021;Pagado Internet;2da. Cuota;CT235013716;RIO IBA¥EZ;RIO IBA¥EZ;72344;37489;2016;CAMIONETA;TOYOTA;HILUX 2.5 MT 4X4 DSL D/CAB TDI SR E5;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;HKKJ-72;4;24-09-2021;NULL;Pagado Internet;2da. Cuota;CT235013716;RIO IBA¥EZ;RIO IBA¥EZ;72344;37489;2016;CAMIONETA;TOYOTA;HILUX 2.5 MT 4X4 DSL D/CAB TDI SR E5;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
HRS-059;8;30-08-2021;2021;Pagado Internet;2da. Cuota;CM189002718;PROVIDENCIA;RIO IBA¥EZ;25489;12911;2018;CUATRIMOTO;ABADA;SPORTSMAN;850;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022;;;HRS-059;8;30-08-2021;NULL;Pagado Internet;2da. Cuota;CM189002718;PROVIDENCIA;RIO IBA¥EZ;25489;12911;2018;CUATRIMOTO;ABADA;SPORTSMAN;850;NULL;Benc;Mec;0;RIO IBA¥EZ;31-03-2022
JGDH-23;2;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235014517;TEMUCO;RIO IBA¥EZ;114288;57887;2017;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;JGDH-23;2;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235014517;TEMUCO;RIO IBA¥EZ;114288;57887;2017;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
JGDH-89;5;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235014517;TEMUCO;RIO IBA¥EZ;114288;57887;2017;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;JGDH-89;5;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235014517;TEMUCO;RIO IBA¥EZ;114288;57887;2017;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
JHFJ-92;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT079017517;TEMUCO;RIO IBA¥EZ;112599;57032;2017;CAMIONETA;FORD;RANGER;3200;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;JHFJ-92;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT079017517;TEMUCO;RIO IBA¥EZ;112599;57032;2017;CAMIONETA;FORD;RANGER;3200;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
JTVT-50;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT176032717;TEMUCO;RIO IBA¥EZ;87450;44293;2017;CAMIONETA;NISSAN;NP300;2300;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;JTVT-50;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT176032717;TEMUCO;RIO IBA¥EZ;87450;44293;2017;CAMIONETA;NISSAN;NP300;2300;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
JYRW-13;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT166006618;PROVIDENCIA;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;KATANA L200 2.4 MT 4X4 DSL D/C CRT E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;JYRW-13;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT166006618;PROVIDENCIA;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;KATANA L200 2.4 MT 4X4 DSL D/C CRT E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
JYVS-13;0;30-08-2021;2021;Pagado Internet;2da. Cuota;CT159000318;PROVIDENCIA;RIO IBA¥EZ;44945;22765;2018;CAMIONETA;MAXUS;T60;2800;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022;;;JYVS-13;0;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT159000318;PROVIDENCIA;RIO IBA¥EZ;44945;22765;2018;CAMIONETA;MAXUS;T60;2800;Full;Di‚s;Aut;0;RIO IBA¥EZ;31-03-2022
KBTB-24;K;30-08-2021;2021;Pagado Internet;2da. Cuota;VN111022618;LAS CONDES;RIO IBA¥EZ;232246;117634;2018;FURGON;HYUNDAI;SOLATI H350 2.5 MT 4X2 DSL FG E5;2500;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KBTB-24;K;30-08-2021;NULL;Pagado Internet;2da. Cuota;VN111022618;LAS CONDES;RIO IBA¥EZ;232246;117634;2018;FURGON;HYUNDAI;SOLATI H350 2.5 MT 4X2 DSL FG E5;2500;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KBTF-92;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KBTF-92;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KCVX-74;4;30-08-2021;2021;Pagado Internet;2da. Cuota;VN111021918;PROVIDENCIA;RIO IBA¥EZ;116399;58957;2018;MINIBUS PARTICULAR;HYUNDAI;H1;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KCVX-74;4;30-08-2021;NULL;Pagado Internet;2da. Cuota;VN111021918;PROVIDENCIA;RIO IBA¥EZ;116399;58957;2018;MINIBUS PARTICULAR;HYUNDAI;H1;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KDSP-68;9;10-09-2021;2021;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;52589;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KDSP-68;9;10-09-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;52589;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KFXB-60;6;30-08-2021;2021;Pagado Internet;2da. Cuota;CT166006618;TEMUCO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;L200;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KFXB-60;6;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT166006618;TEMUCO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;L200;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KFXB-61;4;30-08-2021;2021;Pagado Internet;2da. Cuota;CT166006618;TEMUCO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;KATANA L200 2.4 MT 4X4 DSL D/C CRT E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KFXB-61;4;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT166006618;TEMUCO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;KATANA L200 2.4 MT 4X4 DSL D/C CRT E5;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KHWP-34;4;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX DX 2.4;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KHWP-34;4;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX DX 2.4;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KHZR-41;6;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KHZR-41;6;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KHZR-92;0;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KHZR-92;0;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KJKC-73;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KJKC-73;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;TEMUCO;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KJLX-49;8;30-08-2021;2021;Pagado Internet;2da. Cuota;CT166006618;SANTIAGO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;L200;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KJLX-49;8;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT166006618;SANTIAGO;RIO IBA¥EZ;94162;47693;2018;CAMIONETA;MITSUBISHI;L200;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KKBS-21;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KKBS-21;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KKBS-22;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KKBS-22;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT235015218;SANTIAGO;RIO IBA¥EZ;128503;65087;2018;CAMIONETA;TOYOTA;HILUX;2400;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KLRL-91;2;30-08-2021;2021;Pagado Internet;2da. Cuota;VN162005218;PROVIDENCIA;RIO IBA¥EZ;164697;83420;2018;MINIBUS PARTICULAR;MERCEDES BENZ;VITO TOURER;2100;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLRL-91;2;30-08-2021;NULL;Pagado Internet;2da. Cuota;VN162005218;PROVIDENCIA;RIO IBA¥EZ;164697;83420;2018;MINIBUS PARTICULAR;MERCEDES BENZ;VITO TOURER;2100;NULL;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KLXW-79;1;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLXW-79;1;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
KLXW-81;3;30-08-2021;2021;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022;;;KLXW-81;3;30-08-2021;NULL;Pagado Internet;2da. Cuota;CT050030218;PROVIDENCIA;RIO IBA¥EZ;101480;51401;2018;CAMIONETA;CHEVROLET;D-MAX;2500;Full;Di‚s;Mec;0;RIO IBA¥EZ;31-03-2022
